Year,Energy
1960.0,2886.0
1960.1,2886.0
1960.2,2886.0
1960.3,2886.0
1960.3,2886.0
1960.4,2886.0
1960.5,2886.0
1960.6,2886.0
1960.7,2886.0
1960.8,2886.0
1960.8,2886.0
1960.9,2886.0
1961.0,2886.0
1961.1,2886.0
1961.2,4653.0
1961.3,4653.0
1961.3,4653.0
1961.4,4653.0
1961.5,4653.0
1961.6,4653.0
1961.7,4653.0
1961.8,4653.0
1961.8,4653.0
1961.9,4653.0
1962.0,4653.0
1962.1,4653.0
1962.2,4653.0
1962.3,4653.0
1962.3,4653.0
1962.4,4653.0
1962.5,4653.0
1962.6,4653.0
1962.7,4653.0
1962.8,4653.0
1962.8,4653.0
1962.9,4653.0
1963.0,4653.0
1963.1,4653.0
1963.2,4653.0
1963.3,4653.0
1963.3,4653.0
1963.4,4653.0
1963.5,4653.0
1963.6,4653.0
1963.7,4653.0
1963.8,4653.0
1963.8,4653.0
1963.9,4653.0
1964.0,4653.0
1964.1,4653.0
1964.2,4653.0
1964.3,4653.0
1964.3,4653.0
1964.4,4653.0
1964.5,4653.0
1964.6,4653.0
1964.7,4653.0
1964.8,4653.0
1964.8,4653.0
1964.9,4653.0
1965.0,4653.0
1965.1,4653.0
1965.2,4653.0
1965.3,4653.0
1965.3,4653.0
1965.4,4653.0
1965.5,4653.0
1965.6,4653.0
1965.7,4653.0
1965.8,4653.0
1965.8,4653.0
1965.9,4653.0
1966.0,4653.0
1966.1,4653.0
1966.2,9027.0
1966.3,9027.0
1966.3,9027.0
1966.4,9027.0
1966.5,9027.0
1966.6,9027.0
1966.7,9027.0
1966.8,9027.0
1966.8,9027.0
1966.9,9027.0
1967.0,9027.0
1967.1,9027.0
1967.2,9027.0
1967.3,9027.0
1967.3,9027.0
1967.4,9027.0
1967.5,9027.0
1967.6,9027.0
1967.7,9027.0
1967.8,9027.0
1967.8,9027.0
1967.9,9027.0
1968.0,9027.0
1968.1,9027.0
1968.2,9027.0
1968.3,9027.0
1968.3,9027.0
1968.4,9027.0
1968.5,9027.0
1968.6,9027.0
1968.7,9027.0
1968.8,9027.0
1968.8,9027.0
1968.9,9027.0
1969.0,9027.0
1969.1,9027.0
1969.2,12957.0
1969.3,12957.0
1969.3,12957.0
1969.4,12957.0
1969.5,12957.0
1969.6,12957.0
1969.7,12957.0
1969.8,12957.0
1969.8,12957.0
1969.9,12957.0
1970.0,12957.0
1970.1,12957.0
1970.2,12957.0
1970.3,12957.0
1970.3,12957.0
1970.4,12957.0
1970.5,12957.0
1970.6,12957.0
1970.7,12957.0
1970.8,12957.0
1970.8,12957.0
1970.9,12957.0
1971.0,12957.0
1971.1,12957.0
1971.2,12957.0
1971.3,12957.0
1971.3,12957.0
1971.4,12957.0
1971.5,12957.0
1971.6,12957.0
1971.7,12957.0
1971.8,12957.0
1971.8,12957.0
1971.9,12957.0
1972.0,12957.0
1972.1,12957.0
1972.2,12957.0
1972.3,12957.0
1972.3,12957.0
1972.4,12957.0
1972.5,12957.0
1972.6,12957.0
1972.7,12957.0
1972.8,12957.0
1972.8,12957.0
1972.9,12957.0
1973.0,12957.0
1973.1,12957.0
1973.2,12957.0
1973.3,12957.0
